動画ファイル名,動画ID
,Js1PuhXs1N4

開始,終了,属性,感想
10,20,藤田 面白い コート外,ジャンクサイコ
23,24,村井 面白い コート外,パンダ～
33,50,山本 藤田 面白い コート外,お久しぶりからの営業
58,70,村井 山本 藤田 面白い コート外,アローハ言いに来て雨降った
163,180,山本 藤田 山野 面白い コート外,"やまちゃんとふじたが掃除してなかったので山野が注意したけどダメでした．．．
-4ポイント！！！"
195,198,藤田 山野 面白い コート外,ちんちん触ってきた
241,243,藤田 面白い コート外,藤田の顔
245,253,村井 藤田 面白い コート外,おもろかった　サイコです！
264,278,藤田 面白い,オフェンス以外も欲しがるふじた
340,350,山本 藤田 山野 ミス オフェンス,やまちゃん→やまの→ふじた，もうちょいでゴールやった！
375,380,山野 ミス オフェンス,ドフリーやのにキョロキョロ山野さん
599,605,山野 面白い コート外,声出してこ～～
703,705,山本 吉村 ナイス オフェンス,相手チーム：今日相手強いで
790,805,山本 藤田 ミス 面白い オフェンス,ちくちく言葉とデブデブ落ち度
857,861,山本 ナイス ディフェンス,忍び寄るないD
897,905,村井 山本 ナイス オフェンス,ナイス
951,954,村井 前川 ナイス オフェンス,ナイスキャッチ
985,995,山本 吉村 ナイス オフェンス,ジャーンプ（？）
987,992,山本 吉村 ナイス オフェンス,ナイスゴール！
1066,1070,藤田 面白い コート外,海から間違って出ちゃった時の魚
1083,1100,村井 山本 吉村 ナイス オフェンス,ナイスローナイキャッチ
1090,1098,村井 吉村 ナイス オフェンス,ナイスキャッチ！
1227,1228,吉村 面白い コート外,この10分後くらいにみんな帰ります（笑）

コメント,ユーザ名
